Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
4,police,police
6,aide,help
8,genre,kind
9,mois,month
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
18,chaque,each
20,arrivé,come
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
33,étaient,were
34,attention,Warning
35,voici,here is
37,affaire,case
38,donner,give
39,type,type
41,donné,given
42,train,train
44,endroit,place
47,écoute,listen
49,trouve,find
50,premier,first
51,perdu,lost
52,main,hand
53,première,first
54,côté,side
55,pouvoir,power
56,vieux,old
58,tiens,here
59,matin,morning
60,tellement,so much
61,enfant,child
62,point,point
63,venu,came
64,suite,after
65,pardon,sorry
66,venez,come
67,devant,in front of
68,vers,towards
70,demandé,request
71,mis,placed
72,belle,beautiful
73,droit,law
74,aimerais,would like to
76,mari,husband
78,enfin,finally
79,espère,hope
80,eau,water
81,attendez,Wait
82,parti,left
83,nouvelle,new
84,boulot,job
86,terre,Earth
89,loin,far
90,fin,end
91,croire,believe
94,plutôt,rather
95,aura,will have
96,filles,girls
97,jouer,to play
98,bureau,office
